year,ñkäCìπ,ìåñk,ä÷ìå,ñkó§êMâz,íÜïî,ãﬂãE,íÜçë,élçë,ã„èB,â´ìÍ
2008,6583,6560,100602,8467,20598,42135,8512,3751,14077,731
2009,5903,6406,95790,8186,19277,38906,8765,4150,13580,785
2010,6563,7143,111038,8574,20892,36564,8841,4096,15328,872
2011,6966,7403,109862,9897,20769,40395,9324,4285,17715,867
2012,5996,8020,115469,9146,22970,47042,9036,4242,14333,945
2013,5772,7909,114575,8781,25753,43901,9165,4359,13958,959
2014,5366,6539,101396,7854,19709,36264,8132,3650,13087,899
2015,5264,7367,94439,6661,17955,30202,7131,3042,12939,804
2016,5228,6682,89401,6871,17307,27796,7443,3432,12667,850
2017,5601,7214,99473,7742,21306,31763,8997,4227,14514,1199
2018,4558,6929,86909,6783,18346,27263,7347,3529,12116,846
2019,4047,6296,78291,6390,17178,24291,6748,3372,11241,799
2020,1457,1571,46767,2634,11000,26179,2980,1273,5284,370
2021,2037,1483,37006,1690,8925,24363,2266,1095,3924,326
2022,3108,4148,70333,4231,15821,34293,4951,2280,8739,694
2023,3218,4606,65273,4613,14244,24707,5701,2561,9858,733
2024,3285,3595,59059,4466,13019,21620,4761,2469,8812,732
