year,ñkäCìπ,ìåñk,ä÷ìå,ñkó§êMâz,íÜïî,ãﬂãE,íÜçë,élçë,ã„èB,â´ìÍ
2008,125,164,2716,327,706,1659,932,258,15253,92
2009,109,115,2742,140,1036,2060,1048,219,12856,138
2010,167,83,2751,94,875,1665,755,208,11452,117
2011,104,130,3183,87,1447,1993,1191,232,11944,142
2012,119,169,2239,134,1375,1943,964,183,11564,129
2013,109,110,2280,203,1176,2133,844,145,10976,78
2014,188,139,1784,142,346,933,537,104,8126,47
2015,146,123,4756,254,785,2086,978,249,11034,125
2016,197,180,4650,300,1060,2049,1013,202,11341,209
2017,197,168,5188,285,1517,1511,1210,308,9736,138
2018,116,129,3381,292,906,1453,1305,150,8758,142
2019,170,221,3864,201,1167,1715,1041,216,10157,208
2020,31,32,1823,76,430,846,305,61,7418,41
2021,64,55,1283,44,271,531,250,88,6305,29
2022,62,55,2414,77,423,1275,396,113,8371,50
2023,110,87,3166,117,468,916,667,271,7617,60
2024,108,190,3365,130,478,980,646,320,7694,74
