year,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
2008,2136,2200,40490,3335,17065,142541,11069,6604,5885,572
2009,2050,2026,38115,3460,17218,135301,11022,6763,6205,420
2010,1884,1536,30056,2983,13655,97672,8780,5305,5406,500
2011,1684,1702,34627,3573,18623,126687,11405,7469,6474,356
2012,1734,1974,37814,3576,17999,148028,12449,7491,6318,525
2013,1394,1727,36815,3095,18121,146110,11058,7188,5163,445
2014,1406,1605,35580,3260,15345,131570,9513,6245,4860,461
2015,1273,1748,37050,2952,17007,129966,9323,5996,5226,461
2016,1151,1593,36263,2541,14797,115723,8435,5602,5238,451
2017,1493,1876,37322,2890,17084,118356,10402,6294,5957,488
2018,1376,1673,36312,3214,17387,121820,10471,6900,5458,556
2019,1369,1862,40800,3429,18816,114876,11590,7014,5842,521
2020,639,673,20025,1287,9922,95462,5313,3133,2847,268
2021,693,534,20533,1061,8458,95554,4319,2597,2172,216
2022,1027,1203,29837,2214,14801,120206,7758,5034,3332,359
2023,1424,1545,38299,2903,16605,106857,9500,6373,4671,462
