year,ñkäCìπ,ìåñk,ä÷ìå,ñkó§êMâz,íÜïî,ãﬂãE,íÜçë,élçë,ã„èB,â´ìÍ
2008,18051,34142,255673,29439,81194,81109,18893,7478,27677,4125
2009,18501,35271,265972,29661,82262,80760,19923,8425,29038,4328
2010,19485,34561,217900,28554,80901,83027,20298,8147,30491,4670
2011,15141,30558,213147,22770,60228,61030,13118,5684,21962,3135
2012,20075,43199,253010,30806,85480,86467,19497,7772,30357,4015
2013,20621,40161,260359,29393,79995,82113,21323,9144,33689,4675
2014,18462,35216,255473,26469,72904,73395,18749,8760,29156,4045
2015,19279,34652,240998,27037,75600,77595,18731,7592,30914,4305
2016,18251,35127,223288,26547,74440,77108,21180,8964,32059,4870
2017,20329,39989,249876,30589,83943,89893,24056,11567,38525,5820
2018,22611,42657,248840,31776,87255,90128,24432,11695,41060,6462
2019,23511,41767,273282,31676,88779,91014,24509,12492,41984,6577
2020,8429,11082,195181,8281,26412,33278,6363,3584,13707,1979
2021,4621,8617,239439,7060,29406,34196,5501,2910,9614,1521
2022,13901,23349,326131,18510,66314,72839,13655,8697,24400,5129
2023,21387,35313,304490,28963,82742,90231,20270,9305,34689,5276
2024,15500,28504,257707,23154,66706,66786,16115,7009,27745,3947
