year,ñkäCìπ,ìåñk,ä÷ìå,ñkó§êMâz,íÜïî,ãﬂãE,íÜçë,élçë,ã„èB,â´ìÍ
2008,536,1766,22160,1184,1264,1607,467,321,1074,113
2009,524,1677,18236,1274,1315,1532,455,345,975,87
2010,316,1148,14957,795,892,1133,272,190,653,59
2011,253,1288,16311,904,740,1232,190,108,419,64
2012,475,1461,19476,1018,956,1489,354,140,566,73
2013,496,1551,21978,1148,1063,1560,380,202,705,89
2014,667,1239,19312,902,1081,1518,376,200,677,84
2015,918,1655,19616,1337,1203,1965,589,450,1208,61
2016,550,1407,18680,1169,1348,1804,648,260,875,128
2017,611,1864,18609,1356,1596,1970,549,273,1070,140
2018,549,1836,18032,1335,1612,2105,574,297,936,121
2019,569,1780,22133,1244,2060,2386,509,297,849,109
2020,232,653,13750,605,1092,1230,171,110,341,51
2021,214,898,16325,719,1237,1539,187,106,357,42
2022,354,1066,21315,893,1069,1195,294,175,577,73
2023,447,1410,14965,1201,1238,1560,336,209,759,112
2024,446,1644,16086,1272,1284,1264,355,167,642,112
