year,ñkäCìπ,ìåñk,ä÷ìå,ñkó§êMâz,íÜïî,ãﬂãE,íÜçë,élçë,ã„èB,â´ìÍ
2008,679,534,11469,644,2702,4620,3310,1554,28108,441
2009,427,374,7539,435,1976,3917,2310,1174,17286,377
2010,465,272,5973,386,1858,4642,2010,877,15612,346
2011,347,176,4772,341,1348,4963,2382,1015,17589,348
2012,399,348,7658,381,1649,5241,2216,956,17527,333
2013,255,219,4458,303,1055,2584,1395,606,12029,226
2014,417,328,5868,268,1209,2901,1645,666,13850,251
2015,387,448,6250,408,1516,4226,5361,2180,30356,348
2016,425,433,8180,412,1727,4903,8168,2720,51656,354
2017,454,455,8664,459,1923,5189,9762,3296,54847,422
2018,473,482,9550,592,2032,5361,9509,3401,55646,376
2019,529,452,9921,557,2263,6771,9815,3287,56216,485
2020,295,182,6732,238,1324,4717,4117,1041,40941,176
2021,240,177,5657,139,944,3234,3380,861,36809,156
2022,414,388,9332,391,1901,5514,5905,1653,48735,365
2023,487,443,8978,464,2045,4969,5963,1919,37765,398
2024,492,407,8493,453,2080,5110,6065,2076,37221,1673
