year,ñkäCìπ,ìåñk,ä÷ìå,ñkó§êMâz,íÜïî,ãﬂãE,íÜçë,élçë,ã„èB,â´ìÍ
2008,492,768,12648,1004,2671,9348,953,426,1369,76
2009,450,833,12038,980,2632,9278,978,484,1254,98
2010,576,916,15639,1367,3333,7760,1213,503,1498,74
2011,505,762,11840,976,2565,9621,736,463,1225,86
2012,388,681,13112,1040,2521,7283,796,416,1240,84
2013,430,602,12205,1005,2347,7469,764,402,1073,84
2014,342,535,12868,851,2314,7467,661,375,1024,74
2015,528,793,13572,973,3015,7657,965,531,1391,99
2016,635,909,12868,984,3184,8486,1173,593,1353,127
2017,589,924,12162,948,2898,6250,1163,649,1336,103
2018,613,988,11439,1030,2885,5506,1271,702,1537,145
2019,400,581,10255,766,2314,5007,874,486,974,86
2020,208,219,5610,426,2083,7085,439,332,593,47
2021,353,244,5585,408,2447,8578,498,316,589,37
2022,518,383,10937,855,3549,13114,801,553,951,89
2023,503,407,12604,785,3432,11044,783,414,1190,86
2024,436,391,10662,658,3171,10404,751,350,927,82
