year,ñkäCìπ,ìåñk,ä÷ìå,ñkó§êMâz,íÜïî,ãﬂãE,íÜçë,élçë,ã„èB,â´ìÍ
2008,2252,91587,51088,4336,3040,4709,806,318,1192,101
2009,2175,84138,50620,4050,2909,4032,664,271,1221,123
2010,1707,68253,42137,2884,2224,3155,556,239,938,92
2011,1167,53547,27079,6484,2477,4649,686,401,3482,87
2012,2285,80983,45328,4810,3299,4679,712,377,1199,145
2013,1826,78134,40726,3733,3618,4536,1041,385,1838,108
2014,1606,76587,39205,3325,3293,4027,814,304,1575,116
2015,1480,66682,38346,3064,3137,3889,773,317,1837,98
2016,2331,59265,38878,2991,3192,4280,1074,294,1716,85
2017,1916,56529,33977,2730,2966,4105,945,407,2079,157
2018,1675,55320,34851,3248,3035,4143,777,282,1852,105
2019,1616,49657,30835,2638,2692,3771,676,255,1159,81
2020,767,39867,19129,1252,1302,2098,218,101,657,63
2021,725,33201,17166,822,1031,1822,228,86,519,56
2022,1104,41421,23981,1400,1804,2851,584,165,1007,108
2023,1444,40744,31676,2291,2951,3936,918,239,1472,142
2024,2103,47057,38861,2422,3466,4743,986,305,1204,178
