year,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
2008,955,369,6065,425,997,2341,700,188,21634,163
2009,961,317,6134,327,877,2093,604,201,23115,170
2010,528,235,5346,323,1355,1987,566,140,14168,101
2011,215,245,5606,222,1057,2182,923,221,13569,101
2012,249,411,6972,263,1118,3040,1070,269,13780,152
2013,1041,415,6113,203,1024,2819,676,217,25658,262
2014,1548,402,5282,177,876,2576,535,219,18619,185
2015,797,413,5445,174,779,2643,497,292,18275,140
2016,512,397,5833,183,766,2569,462,226,18362,151
2017,411,277,4761,165,650,1955,335,205,16607,127
2018,337,206,4313,206,596,2018,242,189,16820,121
2019,362,239,4189,184,862,2028,252,168,17983,106
2020,245,195,2456,65,381,1352,129,116,13726,97
2021,179,119,1346,22,156,735,65,99,13401,43
2022,289,207,2512,76,327,1240,135,136,15878,65
2023,379,206,2837,89,429,1418,213,168,15195,75
