year,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
2008,393,740,11240,11632,6540,4832,710,175,763,79
2009,251,455,9327,8751,5597,4335,481,155,299,39
2010,172,552,8639,5228,3458,3165,255,176,442,61
2011,177,583,10069,7698,4666,3956,305,287,397,62
2012,108,901,10984,6320,4785,3908,243,172,328,84
2013,146,745,9533,5364,4271,3019,355,121,320,95
2014,84,491,9733,5310,4075,3499,254,89,301,60
2015,99,306,8607,4173,3580,3063,181,68,280,13
2016,119,402,7589,4566,3051,2395,304,119,529,20
2017,175,464,7629,5032,2839,2784,342,157,676,61
2018,157,336,6351,3350,2233,2177,191,72,524,29
2019,246,411,8794,7674,3344,3491,297,111,436,64
2020,100,150,5219,7661,2416,2594,177,58,259,19
2021,68,208,5591,8030,2236,1970,144,48,178,23
2022,172,284,9767,11017,3844,3204,311,81,377,58
2023,236,326,9222,9306,3797,3161,303,81,293,29
