year,ñkäCìπ,ìåñk,ä÷ìå,ñkó§êMâz,íÜïî,ãﬂãE,íÜçë,élçë,ã„èB,â´ìÍ
2008,329,21351,14333,3002,750,1107,188,130,329,25
2009,347,20590,14738,3233,885,1179,174,139,281,25
2010,296,21119,13245,2736,970,979,172,183,268,39
2011,179,21969,10091,2435,571,810,171,205,169,25
2012,200,18423,10859,2584,920,923,242,126,194,24
2013,258,19548,11262,2313,760,875,150,90,205,19
2014,304,20945,13585,2123,881,996,254,97,270,33
2015,439,25598,14781,3157,1068,1674,331,134,367,22
2016,430,25614,14687,3565,1308,1496,274,159,288,25
2017,437,24193,14431,3518,1344,1433,266,132,365,42
2018,422,22414,14601,2975,1128,1336,220,115,339,61
2019,392,21771,13948,2697,1339,1483,216,121,330,57
2020,273,14884,7472,1638,742,888,118,48,198,18
2021,275,12569,6138,774,505,601,93,45,185,14
2022,274,12451,7515,1094,757,882,101,60,252,28
2023,360,10716,8614,1228,857,995,270,68,244,40
2024,235,7559,5735,1311,563,644,100,69,206,19
