year,ñkäCìπ,ìåñk,ä÷ìå,ñkó§êMâz,íÜïî,ãﬂãE,íÜçë,élçë,ã„èB,â´ìÍ
2008,507,786,12626,3791,31337,11006,1423,665,933,115
2009,367,746,13276,3349,31728,11719,1556,760,1045,115
2010,366,561,11411,2624,27665,10475,1716,574,1209,163
2011,403,561,13559,3319,33430,10525,1722,422,928,109
2012,579,1086,15884,3523,34049,14287,1732,868,1271,162
2013,593,963,16931,3743,34684,14242,1768,830,1153,186
2014,608,814,14041,3936,32380,12131,1438,564,1002,126
2015,625,720,14015,3475,33934,13253,1397,690,1176,176
2016,665,761,14958,3550,33067,12795,1269,871,1155,169
2017,554,717,14908,3403,30800,12228,1221,604,1128,205
2018,512,559,12261,3116,26846,10104,971,507,840,191
2019,502,630,13455,3125,32535,10942,1279,639,1030,169
2020,198,179,7014,1717,24305,6779,402,258,424,91
2021,142,135,5302,1134,20641,5184,259,181,289,49
2022,269,265,9411,2594,29712,8585,606,335,529,115
2023,286,362,10261,2719,23261,8799,649,505,731,133
2024,350,446,11005,3046,23664,9148,794,405,770,132
