year,ñkäCìπ,ìåñk,ä÷ìå,ñkó§êMâz,íÜïî,ãﬂãE,íÜçë,élçë,ã„èB,â´ìÍ
2008,2432,53175,23976,935,2071,4322,610,155,690,45
2009,2388,43544,19739,1022,2188,4442,617,195,893,28
2010,1886,43004,19298,1049,2122,4362,714,203,682,37
2011,622,48344,16887,1028,1298,2507,418,169,499,108
2012,1109,44718,18450,1596,1668,2874,737,132,824,20
2013,1625,35393,13986,883,1460,2637,433,235,732,79
2014,1774,37672,16772,896,2175,3104,576,251,754,567
2015,1536,35694,13497,692,2007,2805,432,208,614,61
2016,1319,28805,10077,698,1572,2058,560,299,679,110
2017,1248,30331,11841,544,1406,1625,447,146,439,66
2018,1156,28763,10822,619,1334,1348,396,144,510,42
2019,1092,26063,8983,622,1489,1674,454,152,526,70
2020,480,25622,6231,414,893,1302,114,93,263,20
2021,509,20890,4369,292,605,699,73,32,211,44
2022,659,21721,7089,376,1076,1435,146,71,369,47
2023,618,17748,9207,514,1086,1354,210,90,344,67
2024,843,16651,9482,531,1195,1188,307,112,374,47
