year,ñkäCìπ,ìåñk,ä÷ìå,ñkó§êMâz,íÜïî,ãﬂãE,íÜçë,élçë,ã„èB,â´ìÍ
2008,2292,1518,38285,1215,5983,14763,37523,2622,4743,200
2009,2506,1453,32178,1389,6156,15750,32183,2790,5403,217
2010,1809,1318,33425,1477,6108,14018,24829,2662,5431,258
2011,1558,1258,33082,1749,7878,15337,26819,3221,6105,275
2012,1754,1660,34894,1969,7622,14430,24419,3369,7049,421
2013,2207,2456,41834,2268,8723,15250,25254,3530,7696,297
2014,1444,1818,30026,1838,7184,11014,20319,2467,5371,215
2015,1397,1791,34676,1860,6967,11550,21045,2999,5739,327
2016,1616,1923,36054,2105,7427,12146,19629,2975,6032,427
2017,1782,2355,38839,2301,7831,12948,20813,3080,6862,465
2018,1760,2135,38823,2240,7624,13526,24000,3365,6663,429
2019,1794,2200,38018,2257,7863,14608,22328,3465,6717,432
2020,818,641,18762,795,4395,10582,22150,1985,4553,196
2021,547,371,13565,448,3177,8435,19281,1622,3585,144
2022,972,667,19112,1045,4576,9384,18475,2044,3403,196
2023,1373,1555,28141,1291,6226,11947,19157,2200,4581,252
2024,1303,1476,30624,1472,6722,13257,19585,2414,4881,313
