year,ñkäCìπ,ìåñk,ä÷ìå,ñkó§êMâz,íÜïî,ãﬂãE,íÜçë,élçë,ã„èB,â´ìÍ
2008,1518,1384,48552,5734,71478,16605,1797,922,3233,338
2009,1540,1352,44211,4707,72145,14067,1969,979,2908,481
2010,1345,1441,45748,4795,66971,13907,2376,1077,3321,336
2011,1322,1202,41170,5030,66212,13170,1865,803,2606,404
2012,1498,1356,43943,4344,63647,12422,1846,830,2817,212
2013,1664,1900,43176,4893,63037,12054,2167,1002,3117,275
2014,1657,1796,42961,4607,64211,12307,2041,942,3068,284
2015,1445,1518,42216,4002,57859,12589,1924,938,3338,322
2016,1254,1217,31930,3117,47946,9125,1504,679,2140,221
2017,1316,1279,34418,3654,49330,10768,1721,805,2444,251
2018,1018,1131,27379,3052,46476,8657,1519,719,2003,258
2019,1139,1167,28114,3112,41791,8600,1527,770,1935,271
2020,594,435,16369,1517,30175,5726,694,301,1212,114
2021,448,310,12897,825,27814,4441,506,187,829,144
2022,1273,527,16991,1736,28094,6800,797,500,1439,823
2023,742,658,18388,2164,22237,6585,942,508,1419,347
2024,476,737,18782,2351,22159,7159,1185,587,1414,183
