year,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
2008,631,4681,76079,38623,5064,4072,707,332,1096,124
2009,518,5018,79036,40301,5934,4465,693,501,1950,209
2010,439,4351,64629,35455,3541,3367,393,355,2008,137
2011,382,7991,60498,35899,3772,3169,334,242,1125,121
2012,1313,5231,62022,37716,4406,3888,553,262,1412,147
2013,496,4864,50366,34385,3461,3304,426,247,1252,127
2014,371,4367,51193,30050,3482,3751,365,217,1593,103
2015,338,4166,52430,29844,2976,3164,442,294,1459,92
2016,578,5290,57222,34092,3129,3573,525,324,1859,129
2017,629,4739,61401,35704,2872,3511,498,268,1306,110
2018,604,4571,61828,34366,3100,3693,597,205,1433,114
2019,382,4147,57648,32538,2843,3339,461,281,1003,116
2020,225,2285,29680,22204,1629,2502,206,178,625,91
2021,448,2847,33057,30710,2261,2638,313,130,367,77
2022,513,3410,45082,29294,3174,3576,388,164,786,123
2023,588,3977,55234,28096,3520,4581,601,219,1160,172
