year,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
2008,26200,42957,372680,33041,57376,84328,25973,13049,47187,5920
2009,26492,44601,372687,33067,60937,89613,26991,13559,48548,6163
2010,28018,46321,371049,35046,61195,89358,28343,14493,51660,6621
2011,26864,46162,411678,32052,54979,79207,24604,12767,44741,7160
2012,28685,53072,426200,36251,68792,91508,29591,15581,51979,7018
2013,27652,51742,417957,36757,72516,94877,32439,16651,53230,7170
2014,25576,47836,366896,33053,64009,84858,29725,15286,50464,6145
2015,24618,42327,350087,31542,59020,75799,28020,14993,48817,6317
2016,22490,38892,317591,28000,55154,75506,26424,13945,42277,6567
2017,22984,38565,332223,27959,56131,79666,26652,14350,44570,6907
2018,26354,39135,337160,29036,56332,80313,27717,14437,45775,7263
2019,25233,37200,338810,28466,57148,79292,27124,14488,44247,7160
2020,8268,9704,213306,8518,19083,33356,7507,4271,15083,2535
2021,9746,10770,297584,9311,25048,43470,8234,4379,17614,3901
2022,15957,19580,321337,16923,40539,62063,14756,8273,29072,5812
2023,17018,22977,257213,19271,39787,56317,18371,10115,31416,5425
