year,ñkäCìπ,ìåñk,ä÷ìå,ñkó§êMâz,íÜïî,ãﬂãE,íÜçë,élçë,ã„èB,â´ìÍ
2008,15156,12359,216723,10610,46276,82352,12248,6545,27230,22752
2009,13092,9154,180034,8566,41052,65463,9587,5116,23507,21325
2010,10580,6808,153275,6908,36461,54129,8397,4559,19064,22164
2011,10742,6394,163937,7619,35611,61276,8890,4473,19086,25656
2012,8648,7067,151020,6461,30823,52618,8103,3917,19611,25922
2013,10600,7121,153277,6919,32630,53394,8146,4210,19319,23852
2014,8561,6616,133233,6173,28874,43079,7564,4153,15159,20667
2015,8011,5584,133493,5746,27114,47813,7498,3603,16391,19325
2016,8224,6499,152901,5707,29289,53490,8073,3780,18842,22280
2017,8892,6514,145361,6350,30723,51900,8264,4445,18870,13902
2018,7738,6248,156419,6474,30662,52869,7287,3595,17807,13298
2019,8991,6816,169275,6730,33251,54357,8652,4066,19288,18554
2020,3552,2534,84679,1908,14791,28593,3192,1207,9098,24914
2021,3681,1760,84263,1588,12811,26266,2537,800,6348,29059
2022,5707,3951,149496,4034,25830,49575,5951,2084,14087,28556
2023,7641,5826,157183,5628,28074,48636,7466,3497,14871,18716
2024,6994,5295,136757,5311,25840,45057,6733,3574,13947,17441
