year,ñkäCìπ,ìåñk,ä÷ìå,ñkó§êMâz,íÜïî,ãﬂãE,íÜçë,élçë,ã„èB,â´ìÍ
2008,679,946,16611,1974,15011,51573,2432,1503,1971,128
2009,446,1255,19005,2246,15095,49601,3121,1761,2024,108
2010,591,1070,19248,2177,11000,40851,3069,1824,1841,83
2011,979,1639,24745,4662,14409,49511,5368,2120,4199,173
2012,719,1307,18480,2471,15120,54617,2974,1992,1627,201
2013,830,1653,14958,2581,13969,47641,2895,1487,2018,248
2014,601,1730,16269,2359,14246,47199,2693,2092,2452,184
2015,913,2147,17578,2625,15915,47720,2815,1883,2357,311
2016,806,1866,15067,2351,10074,37462,2955,1879,2112,260
2017,564,2142,16540,2587,11204,39337,3082,2074,2244,235
2018,819,1833,15646,2608,14185,36997,2951,1660,1711,137
2019,899,1737,15184,2341,13552,37639,2426,1710,1725,276
2020,452,959,6617,1001,8085,27168,837,575,604,102
2021,500,356,5773,895,9067,32355,647,473,446,57
2022,782,978,9263,1380,9676,35837,1013,867,1004,282
2023,716,1335,11706,2416,11858,31637,1921,1351,1488,364
2024,456,1265,12218,1832,11288,29513,1719,1325,1331,446
