year,ñkäCìπ,ìåñk,ä÷ìå,ñkó§êMâz,íÜïî,ãﬂãE,íÜçë,élçë,ã„èB,â´ìÍ
2008,664,423,11980,542,3977,5887,4861,1361,47795,2080
2009,690,367,11773,699,3281,6240,4743,1348,44701,1886
2010,556,412,9221,454,2453,4445,2636,943,33705,1855
2011,405,330,8443,534,2407,7371,3450,935,27638,1725
2012,370,355,9407,451,2351,5353,2992,801,26244,1615
2013,272,242,6829,409,1900,3857,3082,714,25072,842
2014,375,329,7209,261,1809,3643,2466,618,22256,938
2015,242,268,6079,262,1726,3335,1922,420,20638,726
2016,229,407,6017,279,1288,3153,1409,286,21728,279
2017,222,278,6415,215,1336,3543,1457,327,23184,489
2018,218,237,6001,291,1309,2330,1099,278,17113,385
2019,279,308,6400,295,1450,2637,1307,259,20503,526
2020,124,140,2553,105,665,1280,648,115,13587,83
2021,140,82,3401,109,779,1833,810,155,17261,133
2022,152,162,4876,230,1219,2445,1240,251,23968,344
2023,208,236,5131,194,1205,2177,1128,259,19815,297
2024,232,274,6189,265,1430,2539,1330,327,19641,243
