year,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
2008,1054,2239,25993,26105,16193,17382,1675,1094,1944,378
2009,844,1519,24633,28714,17983,16477,1554,791,1562,336
2010,993,2058,21672,19736,10775,14131,1434,656,1639,341
2011,857,1698,25464,22926,13367,15152,1390,675,1649,313
2012,1016,2148,25152,25586,13767,14540,1551,844,1763,452
2013,932,1484,20683,23622,11897,12969,1335,527,1903,451
2014,950,1694,19139,23926,13092,14086,1322,622,1795,441
2015,1041,2245,34016,19503,12484,13521,1553,996,2021,406
2016,1082,2438,34531,18741,10004,11749,1761,757,1923,400
2017,865,2054,30779,23209,11800,12946,1525,682,2051,347
2018,728,1938,27261,20888,10546,12897,1416,650,1768,248
2019,733,1549,26435,23325,12855,13671,1402,660,1942,257
2020,250,498,14600,15508,5725,7208,506,216,955,108
2021,226,619,12288,12281,5423,6191,448,190,654,56
2022,641,865,21034,14656,7702,8200,1295,344,1060,121
2023,606,937,20002,10375,7022,8622,894,474,1339,393
