year,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
2008,4373,8675,189240,6678,17816,17211,4845,2305,8282,677
2009,4701,9038,203725,7433,20609,19762,4882,2603,8446,753
2010,4928,9011,164655,7004,18648,18570,5093,2516,8593,741
2011,3751,7981,165137,6592,16883,15327,4351,2065,6944,651
2012,4558,9406,178324,7687,18911,17396,5251,2379,7723,692
2013,5237,9975,172891,8215,19922,19243,5593,2340,8868,791
2014,4913,9354,152294,7274,17701,16553,4692,2042,7870,694
2015,5458,9653,163768,7781,19264,17649,5623,2500,8906,854
2016,5666,9059,160803,7556,19566,18251,5270,2329,8646,960
2017,5691,8531,152828,7512,19294,18148,5314,2351,8558,1030
2018,6266,8345,153095,7142,18871,17701,5126,2409,8300,1145
2019,5264,7306,134237,6103,17494,15836,4488,2108,6943,916
2020,1543,3433,94822,1753,6650,7043,1440,597,3142,318
2021,1340,1378,108429,1241,6291,5989,1011,431,1959,393
2022,2090,2357,121616,2351,9887,9037,1781,710,2894,481
2023,2658,3446,108029,3520,11614,10483,2524,1049,3979,557
