year,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
2008,1842,1746,46392,1811,8403,19658,10966,2803,83281,1852
2009,1511,1408,40577,1439,7812,16618,9651,2632,74101,1541
2010,1370,1339,38198,1253,6245,14880,8109,1743,63019,1519
2011,1736,1401,44713,1468,7857,20167,10187,2297,76638,1703
2012,1316,1669,41842,1505,8159,18333,10050,2998,69612,1436
2013,1432,1880,44275,1941,8981,16703,9321,2702,70113,1614
2014,1196,1507,40400,1647,7604,14628,7340,2336,62522,1428
2015,1493,1738,43693,1515,8448,13647,7276,2220,62791,1521
2016,1298,1380,40708,1596,6706,12741,6551,1735,60686,1553
2017,1195,1355,41409,1438,6363,12477,6505,1980,57512,1605
2018,1402,1403,36741,1365,5864,11320,5906,1545,44791,1660
2019,1414,1396,35687,1435,6325,11353,5765,1458,45132,1500
2020,807,793,23931,777,3800,9084,3549,875,30658,1003
2021,956,656,23483,638,3007,7715,3183,684,30740,783
2022,1500,1217,32568,1050,4610,10628,4965,1449,41865,1217
2023,1324,1187,25393,1169,4166,8141,4292,1022,30035,1059
