year,ñkäCìπ,ìåñk,ä÷ìå,ñkó§êMâz,íÜïî,ãﬂãE,íÜçë,élçë,ã„èB,â´ìÍ
2008,480,38808,65999,4801,2522,1789,373,191,569,91
2009,431,37853,62150,5927,2455,1294,344,165,274,129
2010,274,22375,24462,2659,1135,874,179,72,154,72
2011,323,30993,20130,1273,1057,1784,517,103,949,33
2012,396,28787,29937,2739,1446,1497,481,135,361,30
2013,287,23631,32306,2407,1241,1025,352,108,349,16
2014,317,23602,30204,1797,967,979,377,155,427,19
2015,330,30032,39552,2232,1652,1398,484,290,972,37
2016,487,31213,43023,3120,1921,1757,865,232,786,77
2017,469,32444,51692,3220,1995,2086,749,223,1280,63
2018,438,31375,54108,4379,2058,2361,426,195,905,56
2019,375,26222,49623,2725,1721,1912,250,186,903,46
2020,153,23383,33443,2017,1087,1494,92,84,381,17
2021,194,22625,29308,1380,1064,1108,118,53,257,25
2022,427,27201,41146,2369,1627,1913,291,159,662,56
2023,387,28856,62171,3291,1944,1936,472,175,730,79
2024,478,31033,67408,3905,1819,1939,475,209,593,124
