year,ñkäCìπ,ìåñk,ä÷ìå,ñkó§êMâz,íÜïî,ãﬂãE,íÜçë,élçë,ã„èB,â´ìÍ
2008,278,1662,95134,6596,7965,3901,428,467,796,115
2009,249,1822,88578,7002,7405,3584,600,208,1010,95
2010,279,1463,72571,5336,4886,3004,341,193,425,51
2011,214,1622,86016,6142,4482,2097,245,202,194,15
2012,186,3400,83664,8022,6144,2084,441,180,203,22
2013,242,2016,72794,5535,5541,2208,730,201,666,56
2014,108,1795,55802,4740,4487,1650,304,56,307,45
2015,220,2623,62210,5374,5827,2539,417,127,272,31
2016,222,2539,55127,5188,5720,2497,295,205,323,22
2017,267,1883,55050,4910,4144,1668,234,148,414,49
2018,240,1906,64111,5351,4093,1648,281,126,465,46
2019,336,1868,54249,4338,3635,1614,304,186,441,90
2020,72,823,43201,2220,1609,1137,70,40,160,45
2021,68,394,33373,1077,1170,766,63,41,138,27
2022,248,828,39769,2155,1645,1271,182,87,284,48
2023,226,1228,41426,3086,2476,1430,394,143,487,69
2024,178,1122,37223,2739,2053,1182,274,122,441,66
