year,ñkäCìπ,ìåñk,ä÷ìå,ñkó§êMâz,íÜïî,ãﬂãE,íÜçë,élçë,ã„èB,â´ìÍ
2008,138,2136,32929,1051,1048,1160,312,109,297,20
2009,139,2047,31936,904,1038,926,242,100,225,46
2010,162,1387,21867,593,820,1366,472,121,376,25
2011,90,1009,20585,406,530,927,196,89,396,22
2012,171,1672,27621,777,802,1309,416,150,424,51
2013,222,1858,27256,926,1165,1979,560,249,785,56
2014,312,1978,24442,1028,1393,2025,791,270,1076,68
2015,253,1548,24480,657,744,1017,361,155,554,36
2016,318,1563,25819,622,817,1388,343,107,490,28
2017,210,1404,22383,456,762,1078,240,116,427,35
2018,250,1334,21966,434,684,1152,323,84,434,33
2019,247,1297,22003,455,701,1048,288,103,507,43
2020,134,729,15189,239,379,571,180,46,178,18
2021,96,378,10607,101,238,369,77,43,114,14
2022,119,511,13436,211,313,480,158,42,151,31
2023,114,500,10827,165,291,380,110,53,133,22
2024,107,503,10233,162,274,355,95,48,148,24
