year,ñkäCìπ,ìåñk,ä÷ìå,ñkó§êMâz,íÜïî,ãﬂãE,íÜçë,élçë,ã„èB,â´ìÍ
2008,1734,17039,11124,526,1379,1813,244,59,451,42
2009,1557,16499,12498,664,1763,2828,414,191,776,76
2010,1442,12407,12810,625,1787,3565,266,74,536,37
2011,1004,16237,15814,745,1048,1341,281,150,404,16
2012,1100,13865,16216,698,1426,1923,379,78,304,22
2013,1316,13383,14364,537,1227,2488,515,80,388,32
2014,731,9279,10720,440,1164,1951,427,66,195,19
2015,830,11116,10577,463,1282,1714,375,121,264,26
2016,1330,11108,15128,759,1910,2978,840,334,1050,197
2017,1436,11628,16343,863,2296,3232,803,267,1076,156
2018,1022,8708,13951,515,1690,2458,334,153,489,43
2019,821,7985,12039,475,1694,2533,302,159,378,79
2020,399,6723,7615,231,980,1864,133,71,193,24
2021,312,7481,5220,142,572,1138,91,45,156,29
2022,752,8688,10252,299,1145,2390,442,158,319,103
2023,744,7053,10440,379,1408,2600,502,207,443,102
2024,647,6351,10386,367,1750,2771,452,165,421,71
