year,ñkäCìπ,ìåñk,ä÷ìå,ñkó§êMâz,íÜïî,ãﬂãE,íÜçë,élçë,ã„èB,â´ìÍ
2008,810,1029,10996,1526,5528,17966,5199,11861,1795,145
2009,561,615,9785,1673,5229,15367,5091,10831,1874,111
2010,548,754,9088,998,5116,13731,4579,9965,1542,120
2011,434,321,9435,859,4348,15732,5561,10148,1513,80
2012,325,660,9204,763,4290,10810,3375,7363,1344,130
2013,304,569,9894,746,3458,18892,7333,12943,1494,153
2014,494,837,9895,758,3889,15348,5120,11267,1602,167
2015,440,623,9034,624,2764,18527,7782,11944,1279,128
2016,265,483,5811,575,2200,16345,7889,11369,884,70
2017,272,736,5366,900,2448,10661,3880,7415,1285,112
2018,414,747,5579,722,3085,17005,8182,11305,1334,119
2019,272,705,5869,692,2743,16312,7883,9664,1147,147
2020,102,151,3556,262,1598,10963,4359,8199,691,97
2021,130,132,3287,146,1216,7231,3431,6829,531,48
2022,217,263,5241,331,1779,10978,5734,8086,744,117
2023,191,362,4293,407,1871,10769,6121,7358,882,165
2024,188,407,4083,364,1844,9550,4935,5682,741,72
