year,ñkäCìπ,ìåñk,ä÷ìå,ñkó§êMâz,íÜïî,ãﬂãE,íÜçë,élçë,ã„èB,â´ìÍ
2008,205,133,2719,232,1163,7450,6731,855,485,64
2009,152,114,2397,196,954,6976,6271,924,538,11
2010,164,118,2744,204,901,7040,5525,721,451,43
2011,216,118,4670,228,1834,9927,7505,1088,1319,42
2012,199,164,4036,223,1583,8872,7310,879,840,42
2013,260,318,4306,338,1350,4451,4517,582,1236,34
2014,385,322,5341,348,1122,4398,4626,488,1080,63
2015,151,127,3027,212,819,4528,4551,601,812,45
2016,234,216,4612,201,1345,4811,5177,578,862,71
2017,337,283,5654,332,1695,4343,4548,528,1441,149
2018,190,246,4626,191,1782,4606,4621,423,976,63
2019,260,414,5115,140,1262,6144,3788,506,1564,93
2020,44,107,1692,87,397,2450,2492,203,413,17
2021,54,75,897,85,216,1235,3636,336,135,8
2022,107,241,2432,93,344,2753,5408,488,478,30
2023,180,461,3543,333,788,3609,4724,486,724,37
2024,177,335,2512,221,663,2957,3668,400,447,29
