year,ñkäCìπ,ìåñk,ä÷ìå,ñkó§êMâz,íÜïî,ãﬂãE,íÜçë,élçë,ã„èB,â´ìÍ
2008,2318,1843,32522,1907,8757,15633,5453,1396,51193,847
2009,2091,1543,27434,1858,7390,13826,4531,1326,51176,862
2010,1533,1227,20368,1162,6343,10241,3140,892,38422,939
2011,1119,797,19484,1060,5731,15087,5727,1279,40393,772
2012,1432,1375,23663,1469,7525,18897,6748,2113,49208,816
2013,1811,1299,24092,1494,7592,16964,5973,1621,49983,797
2014,1876,1330,23777,1433,7151,17183,5185,1296,46007,840
2015,1595,1167,20886,1124,5732,14652,3949,984,40515,693
2016,1019,932,19244,796,4940,11996,3129,766,46162,696
2017,1070,1038,20174,904,5158,12094,3511,832,45932,774
2018,1039,1056,22592,1208,6156,12475,3494,874,39587,663
2019,1025,1116,21666,1063,6032,11796,3329,934,36659,688
2020,373,386,11099,466,2856,7072,1670,430,27676,301
2021,229,216,7017,190,1531,3977,1077,233,22136,205
2022,555,679,14005,608,3203,7308,1776,421,26785,323
2023,831,1037,17308,1060,4508,8873,2899,745,26154,469
2024,603,728,15246,534,3938,7672,2006,571,23870,412
