month,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
1,275,563,11691,1129,28647,22002,1656,723,944,70
2,351,1381,11760,1358,23438,18238,1529,793,1718,36
3,695,1116,16314,1903,31829,30210,2236,912,1434,61
4,752,767,11166,1244,22885,21614,1394,563,1382,116
5,496,817,13120,1420,24672,25123,1231,638,1435,66
6,327,788,8919,1751,21418,18589,1185,497,1107,62
7,196,636,11017,1323,27717,30230,1060,560,949,67
8,222,523,19697,1713,42497,50965,1406,872,951,57
9,348,832,11280,1290,20943,22230,1334,594,1308,85
10,675,940,13707,1930,25701,24817,1638,657,1745,128
11,884,1349,16415,2307,30357,26569,2001,977,2348,237
12,246,672,11749,1385,33381,23071,1170,816,822,148
