month,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
1,2892,3002,60824,4336,14993,33088,5877,2801,10275,748
2,2875,3468,64466,4765,14346,29393,6173,2595,10655,713
3,5386,5189,98375,9768,19684,33208,7833,3582,13771,880
4,5252,4951,83155,9255,19351,28426,6531,4047,11483,819
5,4475,4668,98798,7675,26559,28303,7640,3534,11777,515
6,3280,3948,84633,5133,14315,30677,6114,2548,8940,587
7,2426,3579,74164,5040,14685,35792,5837,2797,8554,500
8,2219,4493,99746,6389,20683,44955,7845,4034,9639,697
9,4256,5472,91066,5453,15346,33243,8688,2918,10825,569
10,11737,8245,90074,8092,19289,33910,7743,3718,12467,750
11,9375,12300,121904,8882,19746,31246,8786,3963,20127,1382
12,4077,12891,95263,6603,20040,39807,7436,3473,16507,1349
