month,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
1,198022,5635,123450,2128,13394,44807,4600,5373,15313,1638
2,149294,7495,138311,3301,18757,38283,7256,4960,15474,2717
3,187547,8435,134955,3477,19601,41265,5513,2580,11916,1644
4,137328,5716,78626,2368,12271,18682,5106,1647,5600,520
5,162428,9296,115098,4211,22231,31462,6827,5530,9135,1212
6,141851,11727,134394,8412,27790,42338,9151,5572,12003,1258
7,157432,14648,161490,7369,27837,44664,7340,3334,11615,1277
8,198644,15349,220284,7129,34835,53317,7744,3813,10692,875
9,171811,13879,175373,6533,27052,48293,7300,3727,13404,1302
10,176800,10323,144295,5236,26769,44753,10593,4985,13717,1227
11,155085,8182,100637,3402,16200,23350,6364,2107,9737,931
12,153754,7301,111646,2696,14580,30250,6334,5551,13381,1310
