month,ñkäCìπ,ìåñk,ä÷ìå,ñkó§êMâz,íÜïî,ãﬂãE,íÜçë,élçë,ã„èB,â´ìÍ
1,40051,34585,233837,19185,55818,65939,13595,6737,29554,4305
2,15523,24861,222084,21434,54291,69700,17523,7274,35589,3864
3,19577,33944,239444,28748,75820,95060,21437,8881,37154,6672
4,14304,36859,226184,20538,58157,61975,15178,6850,22800,3179
5,16311,34019,227670,24330,82834,67808,13680,6942,21031,3254
6,11701,23515,225543,21636,75917,54770,14288,6305,18495,3407
7,11432,34780,259755,25424,66114,71356,17597,8000,26046,3415
8,9883,38417,330179,34292,92001,91472,22016,10946,30968,3872
9,17538,36022,246584,27502,64388,77205,17634,8287,27566,4078
10,22409,33461,259838,29314,75778,74607,23538,9300,28372,5478
11,19008,29915,263579,27815,86323,86939,18219,8597,29960,4589
12,12726,30797,287019,23796,76953,80325,21727,10157,43335,6741
