month,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
1,547,1003,16314,899,1055,1482,373,283,531,81
2,385,1196,14230,1036,970,1305,295,149,777,81
3,577,2146,18968,1240,1557,1748,529,261,1006,90
4,448,1529,21037,980,1141,1670,384,200,677,91
5,541,1372,18649,1171,1282,1627,421,210,750,78
6,417,1181,16284,862,1004,1525,364,202,722,70
7,386,1440,18552,1006,1040,1465,337,242,777,70
8,541,1421,21425,1106,1348,2090,459,276,674,106
9,478,1328,16916,1040,1141,1531,356,176,667,74
10,512,1282,17876,1085,1155,1604,441,251,838,89
11,520,1497,20340,1171,1620,1607,417,231,802,117
12,430,1630,21300,1218,1511,1714,388,280,812,105
