month,ñkäCìπ,ìåñk,ä÷ìå,ñkó§êMâz,íÜïî,ãﬂãE,íÜçë,élçë,ã„èB,â´ìÍ
1,311,228,6642,226,1212,3720,3733,1381,26551,300
2,388,342,7740,411,1570,4101,3605,1227,24736,246
3,834,472,8924,611,2420,6363,5821,1812,34928,355
4,520,330,6273,425,1453,3715,4063,1375,27498,223
5,404,375,6977,466,1808,4209,4083,1462,27098,271
6,248,273,5568,305,1103,3304,3313,1075,26440,655
7,183,252,6537,277,1363,4174,5415,1886,37832,825
8,197,260,9514,330,2427,6312,8731,3360,49406,328
9,348,400,7396,348,1566,4678,5116,1756,37166,274
10,491,490,7793,562,1833,4597,4712,1816,37416,472
11,787,565,9796,584,2427,5725,5178,1895,37633,641
12,363,332,8247,305,1676,4769,5038,1624,37196,404
