month,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
1,9918,6530,104382,7926,28141,113442,15378,9675,19287,3221
2,5983,6200,113843,7800,24893,100325,15730,8516,22472,2621
3,9636,9478,148800,13180,37410,116791,21504,10633,32976,3993
4,6797,8096,105549,12268,26972,106224,14767,9538,20897,2851
5,6225,5842,105178,15735,32961,105600,18314,13736,21227,2372
6,4719,5493,98501,7428,26391,103443,13876,8391,17968,2240
7,4852,6800,117409,9112,30034,112280,17178,9837,22404,2836
8,5366,8879,157617,14095,44734,131037,23198,14120,28154,3710
9,7890,8507,125037,10962,33103,113324,20393,11006,24796,2921
10,15732,11611,127188,11562,39350,120230,20472,12612,25438,3699
11,13268,19095,140634,11672,36790,117782,19264,11072,29183,4317
12,6924,22419,127195,10727,38929,139110,20848,12008,26385,4576
