month,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
1,628,182,4240,173,567,1828,297,366,15394,97
2,859,752,6560,196,966,2853,544,579,16170,150
3,1575,211,5081,354,1189,2292,594,161,16882,212
4,570,122,4333,227,850,1797,524,133,13320,76
5,384,127,4621,226,938,1823,596,149,17408,132
6,196,109,3239,135,483,1349,334,96,13716,105
7,158,75,4078,97,563,1815,289,126,17604,134
8,381,118,5071,143,800,2484,515,184,26839,132
9,337,142,4161,151,629,1833,401,149,16691,102
10,450,1069,4805,209,776,1890,562,131,17640,149
11,739,359,5698,240,864,2627,595,120,18044,136
12,479,225,4520,178,564,2156,300,95,17883,119
