month,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
1,61,126,5319,6815,2087,2168,177,97,168,21
2,88,149,5662,6884,2730,2369,146,116,275,24
3,165,275,6765,7579,3021,3327,217,93,366,20
4,150,266,7889,5427,3127,2846,267,80,381,37
5,181,476,8032,4625,3882,3183,401,141,488,41
6,196,398,7237,5956,3653,2853,232,93,362,54
7,126,684,8637,5847,3871,3031,298,131,347,42
8,131,604,13711,8268,5359,5062,361,176,433,56
9,266,889,10510,5584,4175,3768,300,106,377,65
10,324,864,11522,7434,5272,3739,672,184,647,124
11,241,561,11094,9045,4878,3912,379,149,658,75
12,97,222,7342,9870,3494,2406,187,107,301,38
