month,ñkäCìπ,ìåñk,ä÷ìå,ñkó§êMâz,íÜïî,ãﬂãE,íÜçë,élçë,ã„èB,â´ìÍ
1,164,18611,7643,1412,432,652,98,44,132,35
2,212,17191,7853,1653,629,939,113,48,183,24
3,294,18323,8936,2222,599,923,151,78,236,27
4,398,15538,9296,1851,714,776,134,74,239,39
5,374,15924,11232,2228,903,1075,239,114,287,24
6,331,17691,13733,2904,1072,1377,192,161,328,38
7,316,18420,12438,2124,1005,1130,247,130,287,19
8,374,19676,17410,2417,1374,1715,223,180,288,28
9,345,18012,12496,2266,1092,1149,262,117,264,29
10,465,21192,15834,3412,1381,1407,395,176,415,40
11,369,20939,12955,4023,1065,1183,199,143,337,43
12,204,25573,8550,1995,568,591,103,89,173,19
