month,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
1,132,165,7973,1784,28910,8148,1067,437,976,109
2,228,236,9614,1699,24959,10356,1271,580,1052,115
3,266,441,10005,3052,34195,11277,1143,492,819,107
4,642,493,9916,2205,25237,8228,878,438,767,194
5,551,628,12200,3161,26624,11005,1143,552,905,129
6,473,751,10538,3310,25435,10391,1118,537,642,105
7,236,869,12737,3327,28331,10256,1167,615,672,63
8,252,627,21803,3600,39931,13607,1100,567,661,64
9,523,1016,14918,3462,29552,12681,1337,606,1124,134
10,911,1031,14506,4386,29513,12023,1615,907,1541,287
11,860,785,16128,4373,31595,13266,1596,848,1407,268
12,308,339,9146,2482,35998,8553,1121,374,567,130
