month,ñkäCìπ,ìåñk,ä÷ìå,ñkó§êMâz,íÜïî,ãﬂãE,íÜçë,élçë,ã„èB,â´ìÍ
1,162,140,4609,186,1111,4940,6144,1100,789,67
2,186,201,4496,278,964,4775,5805,995,793,80
3,457,304,6414,503,1576,6482,7038,1176,1163,123
4,491,247,5317,342,1260,5079,6146,902,951,166
5,376,373,5774,470,1747,5579,6115,1056,1150,120
6,268,373,4795,418,1469,4600,5746,1085,924,96
7,161,239,5600,287,1230,5076,6136,962,1014,62
8,173,266,7334,339,1822,7745,7258,1507,1151,87
9,300,290,6095,366,1577,5747,5588,1046,1127,82
10,569,436,6821,464,2079,5816,6972,1056,1241,112
11,633,644,7550,521,2342,6094,7102,1133,1352,190
12,258,264,5731,390,1630,5135,7880,1173,913,98
