month,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
1,517,40999,14353,340,928,2368,99,54,262,39
2,441,39737,14059,599,998,2472,209,127,446,27
3,603,37107,12444,548,1023,1886,126,81,256,23
4,1783,22388,12019,778,1665,2141,612,170,796,171
5,4188,27865,12124,787,1470,2413,423,150,443,48
6,2907,27872,8037,809,1129,1917,338,127,387,46
7,573,34419,10853,675,1192,1298,272,127,343,41
8,1331,42082,25766,1336,3056,3984,701,239,738,41
9,878,29659,11394,758,1197,2399,356,147,429,60
10,1141,30958,16370,1627,3326,4455,1498,455,1846,249
11,615,32468,9886,604,1574,2277,458,177,594,148
12,364,40560,11110,273,778,1302,112,74,232,167
