month,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
1,50,69,1761,94,837,2747,5758,585,360,8
2,47,103,1954,153,1035,3055,5388,689,439,10
3,159,221,3650,484,2290,5135,7661,979,978,23
4,178,180,2919,401,1640,3724,4913,554,727,17
5,166,419,4655,547,2474,4515,4886,729,1036,24
6,108,380,3598,584,2047,4235,5173,702,822,29
7,59,197,2953,287,1374,3406,4283,577,695,12
8,100,197,5392,287,2083,5759,6075,783,840,12
9,153,293,4696,401,1906,5165,5272,729,1015,22
10,253,400,4971,728,2574,5312,5509,871,1208,32
11,293,506,5729,654,3391,6170,6068,1294,1556,34
12,69,192,3383,204,1494,3620,9518,779,660,17
