month,ñkäCìπ,ìåñk,ä÷ìå,ñkó§êMâz,íÜïî,ãﬂãE,íÜçë,élçë,ã„èB,â´ìÍ
1,877,890,23080,964,3805,10508,22846,2184,4497,219
2,969,943,25554,1021,3944,10664,22169,2324,5230,241
3,1661,1504,34172,1607,6658,13726,22321,3083,6179,363
4,1416,1178,26368,1618,5305,11086,21239,2192,4681,333
5,1448,1358,31072,3281,8911,12676,20684,3533,5774,280
6,1134,1322,26329,1245,6012,11357,20234,2375,4635,226
7,839,1107,31497,1122,5542,12835,25473,2645,5568,234
8,975,1193,43632,1635,8494,18248,28332,3642,6538,267
9,1597,1605,35032,1591,6744,13804,22442,3077,5701,280
10,3802,2440,34989,1869,8446,12990,22502,2483,5615,240
11,3248,2908,39254,2170,9215,14157,23637,2699,7013,516
12,1046,2323,30436,1445,6308,12497,28927,2804,5494,376
