month,ñkäCìπ,ìåñk,ä÷ìå,ñkó§êMâz,íÜïî,ãﬂãE,íÜçë,élçë,ã„èB,â´ìÍ
1,114,128,2464,115,521,4439,800,2651,251,27
2,123,165,2938,214,642,4210,826,2689,336,48
3,360,410,4553,366,1246,5986,1054,3053,582,92
4,431,298,3444,286,985,4646,789,2962,497,60
5,353,322,4033,292,1188,4642,952,2944,600,40
6,242,292,2956,216,872,3853,764,3186,447,65
7,98,191,3401,143,730,6776,889,3166,445,35
8,134,144,4845,177,1161,9505,1234,3410,436,32
9,182,240,3538,207,711,4271,757,2505,490,45
10,342,299,4003,323,1065,4392,939,3238,627,84
11,501,361,5217,532,1523,4543,1088,3189,728,83
12,147,316,3754,261,994,4828,922,2999,509,50
