month,ñkäCìπ,ìåñk,ä÷ìå,ñkó§êMâz,íÜïî,ãﬂãE,íÜçë,élçë,ã„èB,â´ìÍ
1,289,325,7029,334,1370,7608,5040,9123,1118,64
2,396,492,8238,493,1602,7288,4484,7536,1231,62
3,810,793,11118,840,3201,9615,5367,8606,1750,95
4,747,608,9035,542,2559,7098,4005,7280,1577,81
5,579,680,10422,731,3218,8724,4128,7560,2012,82
6,395,616,7662,535,2008,7053,3825,7304,1445,91
7,225,458,8872,438,2137,7335,3966,8174,1643,72
8,270,459,12822,507,3533,11178,5178,9474,1958,104
9,497,682,9697,509,2596,7944,3756,7197,1871,138
10,809,868,11583,859,3854,9363,4844,8845,2377,138
11,863,921,13144,814,4000,9876,5362,8926,2538,190
12,337,488,9350,409,2084,7337,5383,9777,1413,166
