month,ñkäCìπ,ìåñk,ä÷ìå,ñkó§êMâz,íÜïî,ãﬂãE,íÜçë,élçë,ã„èB,â´ìÍ
1,965,982,30657,3061,50103,8803,1090,638,1853,286
2,993,987,29834,3189,45737,8644,1260,666,2085,362
3,1597,1254,35882,3922,51676,11050,1890,823,2625,333
4,1406,996,29873,2677,44963,8873,1422,630,2092,471
5,1180,1146,32197,3581,45307,10647,1555,731,2310,280
6,1075,1035,28550,2866,42553,8670,1356,612,2192,229
7,929,1122,33767,3583,48388,11014,1648,779,2350,244
8,872,1129,39755,4885,61142,16298,1936,898,2385,223
9,1229,1180,32520,3341,44932,10565,1722,721,2578,270
10,1466,1333,32448,3315,46141,9269,1533,736,2624,358
11,1577,1528,37112,4517,51064,10703,1793,927,2763,406
12,1005,1008,30755,3158,62052,8982,1418,697,1844,252
