month,ñkäCìπ,ìåñk,ä÷ìå,ñkó§êMâz,íÜïî,ãﬂãE,íÜçë,élçë,ã„èB,â´ìÍ
1,468,2230,79112,32671,2436,4268,385,412,4357,443
2,572,2413,80136,31137,2301,2772,420,297,2657,139
3,835,3977,67628,33820,2750,3278,365,227,648,121
4,479,3469,37143,26476,2630,3180,382,145,690,103
5,571,4833,39948,27833,3923,3589,517,282,656,75
6,474,4125,31674,30678,3028,3119,389,198,635,53
7,413,5223,55472,30600,3395,3397,500,251,755,61
8,603,7466,101137,36892,5419,4599,562,336,863,64
9,584,5336,41406,29155,4077,3927,544,273,945,79
10,658,5484,48679,34801,5943,5003,875,377,1608,146
11,526,5861,41447,35642,3968,3745,543,259,883,111
12,336,3038,51431,42673,1977,2321,262,133,571,141
