month,ñkäCìπ,ìåñk,ä÷ìå,ñkó§êMâz,íÜïî,ãﬂãE,íÜçë,élçë,ã„èB,â´ìÍ
1,22491,33152,322061,24933,45581,66004,19985,11165,38825,5846
2,20685,30634,305032,26537,45098,67713,22266,12483,42448,5789
3,24669,35150,318377,28544,49676,77486,24464,12015,43863,6674
4,20773,40555,316549,21075,40641,65422,18475,9630,33219,5402
5,23294,45655,321086,27144,62287,74719,21892,11943,38587,5517
6,19692,30620,309014,23289,55367,67882,20992,11464,38055,5136
7,19246,32696,332902,25198,47497,69940,23124,11723,40219,5558
8,18916,38662,406923,34199,70685,90648,28516,15205,43440,6201
9,23298,38049,319988,26734,48156,75256,22821,12035,40584,5949
10,26540,31089,331094,27148,48815,72398,27402,14264,41029,6188
11,27302,39395,343910,28760,54932,78257,25396,14122,45662,7068
12,20518,37219,413633,28120,56782,77750,26944,12465,46464,7072
