month,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
1,184,3604,57830,648,635,606,113,128,434,40
2,130,3691,50831,805,765,682,139,78,489,38
3,282,5374,71728,1542,1289,1029,269,142,451,43
4,499,3944,58325,1059,1320,941,306,98,536,48
5,483,4841,60301,1579,1672,1199,332,146,616,56
6,212,4685,54348,1833,1518,1389,296,169,576,39
7,150,4810,71456,1588,1280,980,225,111,393,33
8,152,4511,110249,1746,1560,1091,227,102,253,48
9,317,5095,67993,1651,1685,1475,369,212,562,44
10,424,6371,75560,2611,2772,1728,514,281,825,95
11,442,6386,79485,2417,2778,1859,542,249,960,139
12,147,4842,71175,831,781,630,175,59,294,54
