month,ñkäCìπ,ìåñk,ä÷ìå,ñkó§êMâz,íÜïî,ãﬂãE,íÜçë,élçë,ã„èB,â´ìÍ
1,10964,6560,120575,4745,25293,43020,5841,2873,14401,18628
2,12584,7238,120896,5070,29875,43714,7986,2740,15105,16361
3,13966,7791,149164,8235,36397,56676,9524,4027,20902,21606
4,9724,5739,137579,5282,29469,51078,8740,4771,18004,17731
5,6672,4691,112311,4363,24535,49944,7339,4990,14742,21358
6,7187,4549,123931,4119,29235,44155,6042,3650,15098,23856
7,5275,6156,191695,5135,32935,61544,8326,3781,19489,21835
8,3905,6172,226494,5632,38418,71479,9286,4745,22235,21514
9,7592,6482,163512,5769,25496,55775,6959,3411,18469,20202
10,10084,6998,163847,7832,31439,48632,8211,3608,17536,21445
11,10143,7172,141566,7214,28901,45177,6423,3196,16253,24548
12,5534,5661,128189,9121,28086,43535,6091,3118,14253,30954
