month,ñkäCìπ,ìåñk,ä÷ìå,ñkó§êMâz,íÜïî,ãﬂãE,íÜçë,élçë,ã„èB,â´ìÍ
1,279,262,8014,1042,9701,36774,1729,934,905,285
2,204,308,6576,1216,8270,32795,1715,1118,1065,116
3,833,771,13957,2199,11774,38127,2613,1381,2054,111
4,1136,987,13796,2441,11184,42331,2389,1424,1970,208
5,538,731,18664,2559,14916,35070,2789,2980,2614,118
6,314,734,13382,2353,10661,31971,2437,1177,1410,137
7,280,1187,14414,1779,10897,41159,2166,1112,1277,115
8,347,701,17604,2063,17896,69793,2168,1143,1047,84
9,645,1315,15930,2285,12055,37177,2619,1473,1575,121
10,1402,2402,18025,3211,13824,40950,3679,2494,2316,175
11,1603,3726,26309,4162,16106,39198,3898,2392,3804,467
12,712,3971,13262,1869,13600,46413,2093,1131,1954,599
