month,ñkäCìπ,ìåñk,ä÷ìå,ñkó§êMâz,íÜïî,ãﬂãE,íÜçë,élçë,ã„èB,â´ìÍ
1,277,188,5517,175,1049,2471,1828,357,22873,1730
2,269,298,5762,231,1193,2081,1164,236,16481,1129
3,503,373,7615,452,1979,4109,2371,380,25284,342
4,378,208,5871,255,1361,3220,2096,659,25069,275
5,319,254,6854,337,1764,4001,2714,1087,23218,265
6,195,229,5505,295,1300,3176,1272,314,16952,314
7,162,257,6299,229,1593,3384,1730,421,22848,248
8,213,267,9622,283,2353,5692,3922,916,42488,398
9,296,277,7471,306,1939,4257,2380,589,26606,260
10,415,361,7698,613,2744,3859,2218,732,26901,912
11,534,446,8373,400,2636,4484,2247,582,25413,1600
12,233,268,6653,373,1677,3081,1880,361,25758,2723
