month,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
1,28,55,2652,1419,9873,5392,200,99,77,9
2,28,63,2561,1394,10492,5444,167,173,100,12
3,73,182,3497,1384,10293,5916,244,149,96,9
4,97,194,2901,966,6259,6898,312,127,125,10
5,90,234,3614,1462,6843,4457,384,179,166,20
6,63,251,2539,1506,8095,3611,301,144,147,3
7,82,229,3338,1448,9409,7203,316,181,163,10
8,51,188,5548,1699,10874,15038,398,172,171,23
9,149,260,3541,1374,7654,5547,348,260,150,8
10,150,287,3803,2057,9806,5023,473,224,283,29
11,141,282,4897,2247,13133,6495,604,298,322,21
12,37,114,3279,1660,16605,5729,387,141,148,19
