month,ñkäCìπ,ìåñk,ä÷ìå,ñkó§êMâz,íÜïî,ãﬂãE,íÜçë,élçë,ã„èB,â´ìÍ
1,1152,1045,31821,884,5235,11878,6679,1323,50993,1246
2,1115,1285,35431,1175,5648,12372,6208,1307,48762,1375
3,1732,1721,41540,1722,7409,15478,7253,1851,56028,1438
4,1309,1143,31999,991,5583,11748,5531,2175,51258,1166
5,1318,1312,36663,1267,6221,13714,7688,3181,52471,1159
6,1091,1130,32968,1088,4970,10785,5311,1567,43490,1251
7,986,1434,35816,1317,5724,12927,6484,1433,57236,1340
8,963,1318,40518,1196,7713,16364,9793,2314,74537,1797
9,1347,1382,35658,1377,5769,12984,6562,1928,52596,1361
10,1488,1641,39256,1700,7240,13059,6595,1723,51928,1647
11,2262,1745,42283,1880,8434,15527,7646,1860,57100,1497
12,1557,1183,38061,1639,6607,12708,7662,1584,61570,1525
