month,ñkäCìπ,ìåñk,ä÷ìå,ñkó§êMâz,íÜïî,ãﬂãE,íÜçë,élçë,ã„èB,â´ìÍ
1,184,28461,39471,1650,616,903,69,49,804,40
2,268,25353,35342,1742,902,702,137,134,1047,30
3,482,28842,37396,2439,1100,1009,217,101,568,36
4,552,23789,37617,2546,2331,1849,465,137,688,103
5,566,24262,36672,3252,1802,1565,520,130,453,58
6,308,28391,35344,4024,1520,1730,566,159,375,76
7,246,27829,45563,2806,1408,1686,313,101,277,31
8,266,31030,71986,3074,1866,1732,280,129,272,30
9,346,25927,42493,2855,1648,1559,354,151,595,34
10,531,29797,50660,4234,3297,3149,862,508,835,100
11,452,32589,49528,4496,2185,2305,766,197,799,106
12,208,39915,37925,2347,887,970,286,137,736,38
