month,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
1,214,9670,5561,187,580,469,77,25,120,14
2,386,8955,5983,339,568,716,84,42,208,16
3,473,9908,6786,381,538,693,107,50,186,16
4,633,7880,6816,381,648,841,144,88,242,36
5,2476,9223,7957,539,827,1113,167,84,240,23
6,2511,10876,7585,610,775,840,165,107,173,24
7,353,11228,7950,490,744,770,154,73,186,15
8,449,11525,12262,652,1289,1412,172,124,219,15
9,488,10155,9425,513,973,1044,177,103,316,52
10,465,11161,10264,715,1119,1300,312,163,507,75
11,318,9937,7750,368,839,896,104,103,240,29
12,221,9848,5772,206,434,464,66,28,96,15
