month,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
1,112,920,57270,3013,2830,1049,101,108,366,46
2,83,1120,53957,3216,2872,1247,138,178,293,73
3,179,1457,61005,5701,4465,1720,282,169,262,50
4,263,1169,51315,4043,4274,1624,322,94,205,38
5,255,1803,52918,5106,5068,2250,528,191,308,47
6,173,2190,50747,4980,4463,2402,397,201,326,43
7,134,1827,63150,4430,4125,2225,382,168,462,29
8,116,1735,92915,4799,5079,2721,237,176,394,33
9,351,2299,63631,5113,4881,2752,468,123,648,30
10,392,2609,69968,7166,6091,3123,533,253,697,82
11,348,2470,69288,6498,5547,2476,355,204,590,100
12,185,1307,66142,3740,3727,1235,254,93,386,47
