month,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
1,156,1518,20846,412,608,826,219,87,296,27
2,162,1308,19235,515,665,935,264,123,371,28
3,320,1617,22454,811,1016,1321,357,136,431,40
4,211,1107,20548,426,667,1140,275,94,388,35
5,187,1194,21680,480,694,1117,263,115,385,41
6,152,1163,20290,589,581,927,398,103,388,23
7,159,1216,22030,585,735,1099,319,120,407,31
8,171,1308,27965,539,914,1354,359,161,514,48
9,165,1183,19683,507,796,1115,347,117,423,33
10,180,1339,22061,706,726,1081,356,119,454,32
11,215,1671,23801,796,808,1075,379,118,483,44
12,155,1390,24417,407,582,892,269,85,387,30
