month,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
1,766,639,11306,484,3419,6060,2541,531,22429,470
2,834,1152,16156,934,4765,7098,2956,728,23024,346
3,2305,1427,19821,1702,7814,12464,5150,1072,28687,520
4,1358,1017,13318,798,3996,10723,3370,1061,22537,314
5,1045,927,18295,901,6136,14949,5737,1168,29407,422
6,627,729,10383,808,4314,9505,2187,386,19676,315
7,339,611,13129,460,3867,7668,3048,600,28999,336
8,597,794,24733,796,7362,13201,5765,1273,45385,426
9,873,871,14387,923,4679,8118,3249,567,29246,366
10,1521,1494,18295,1724,11960,8767,3824,1072,35445,439
11,1818,2031,20482,1508,9846,10568,4701,1041,39033,662
12,849,1510,18014,1820,6868,8028,4556,825,36904,796
