month,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
1,1113,1241,92334,2703,51154,8024,743,301,836,86
2,1183,1667,88572,3756,49054,9158,854,379,1197,102
3,1900,2291,110185,4738,62381,13360,1329,551,1707,135
4,1118,1031,85429,2903,47695,8410,870,343,1265,178
5,1098,1279,84935,3522,47774,10247,1143,481,1529,123
6,816,1270,75661,3629,43699,8997,795,404,1240,121
7,440,988,102983,2823,51386,9649,775,362,1390,98
8,450,956,171206,3154,75980,12605,826,482,1120,90
9,674,1186,88256,2645,45295,10687,867,377,1172,183
10,1301,1420,87588,4029,50968,11265,1007,542,1570,154
11,1371,1976,100128,4344,58231,13860,1423,645,2045,391
12,493,1207,98249,2875,64532,8792,805,382,971,180
