month,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
1,253,287,5293,397,2375,12009,5102,9399,788,75
2,291,459,5640,564,2740,12499,4719,8706,810,105
3,508,830,8197,1190,3970,17147,6268,9644,1281,104
4,602,593,7813,822,2787,11171,4749,8475,1138,155
5,493,677,7537,1031,3322,12413,4852,8175,1562,149
6,250,676,5268,812,2912,10610,3779,7263,999,113
7,168,411,6913,573,2754,15548,6098,10054,1330,78
8,190,363,10870,577,3747,24217,9102,13529,1433,77
9,339,593,7644,670,3170,12919,4763,8364,1527,108
10,480,622,7982,991,3900,13707,5750,10165,1516,157
11,566,799,8486,930,4151,15204,6513,11067,1735,214
12,192,429,5608,426,2843,12534,6945,12568,837,95
