month,ñkäCìπ,ìåñk,ä÷ìå,ñkó§êMâz,íÜïî,ãﬂãE,íÜçë,élçë,ã„èB,â´ìÍ
1,291,142,5129,593,798,4470,2025,5101,435,41
2,403,287,6732,885,1060,6409,2193,4905,523,46
3,845,452,8864,501,1900,6993,2771,5832,869,84
4,620,323,7233,304,1722,6041,2250,5374,942,49
5,463,322,9196,441,2162,8044,2763,5634,1012,68
6,281,294,6863,329,1538,6070,2494,5150,762,76
7,196,206,7325,248,1493,6343,2407,6039,847,71
8,234,223,9989,319,2081,9511,2964,7687,955,48
9,374,302,7495,263,1524,6446,2657,5545,998,57
10,526,316,8033,562,1866,6481,2818,6404,912,74
11,591,392,8296,433,2150,8879,2962,6150,1090,129
12,303,281,6359,223,1350,5700,2486,6269,742,67
